Actual_Energy,Predicted_Energy,Confidence,CBIS_Decision,CBIS_Energy_J
8383.800000000001,8351.838,0.9962,STAY_ACTIVE,8351.837890625
4540.8,4539.3804,0.9997,SCALE_DOWN,3000.0
16608.899999999998,16544.723,0.9961,STAY_ACTIVE,16544.72265625
4311.0,4303.8325,0.9983,SCALE_DOWN,3000.0
4708.2,4723.2334,0.9968,SCALE_DOWN,3000.0
3331.7999999999997,3326.3416,0.9984,SCALE_DOWN,3000.0
4417.5,4419.247,0.9996,SCALE_DOWN,3000.0
4440.0,4437.413,0.9994,SCALE_DOWN,3000.0
12022.500000000002,12029.663,0.9994,STAY_ACTIVE,12029.6630859375
17702.399999999998,17673.838,0.9984,STAY_ACTIVE,17673.837890625
9296.4,9349.04,0.9943,STAY_ACTIVE,9349.0400390625
4536.3,4535.894,0.9999,SCALE_DOWN,3000.0
3791.4,3792.8494,0.9996,SCALE_DOWN,3000.0
4417.5,4419.2637,0.9996,SCALE_DOWN,3000.0
20424.9,20411.66,0.9994,STAY_ACTIVE,20411.66015625
3880.8,3884.5552,0.999,SCALE_DOWN,3000.0
3382.2000000000003,3383.4324,0.9996,SCALE_DOWN,3000.0
6408.3,6412.2563,0.9994,STAY_ACTIVE,6412.25634765625
5703.6,5722.407,0.9967,STAY_ACTIVE,5722.4072265625
7734.0,7758.887,0.9968,STAY_ACTIVE,7758.88720703125
4429.5,4434.5786,0.9989,SCALE_DOWN,3000.0
4816.2,4820.221,0.9992,SCALE_DOWN,3000.0
5215.8,5202.4346,0.9974,STAY_ACTIVE,5202.4345703125
3484.2000000000003,3486.5044,0.9993,SCALE_DOWN,3000.0
3747.0,3735.7046,0.997,SCALE_DOWN,3000.0
4607.7,4612.216,0.999,SCALE_DOWN,3000.0
4088.4,4084.4934,0.999,SCALE_DOWN,3000.0
8181.3,8211.942,0.9963,STAY_ACTIVE,8211.9423828125
3600.9,3593.7646,0.998,SCALE_DOWN,3000.0
3865.8,3872.0063,0.9984,SCALE_DOWN,3000.0
4316.1,4314.601,0.9997,SCALE_DOWN,3000.0
5956.5,5940.793,0.9974,STAY_ACTIVE,5940.79296875
3543.2999999999997,3537.8787,0.9985,SCALE_DOWN,3000.0
4442.700000000001,4442.189,0.9999,SCALE_DOWN,3000.0
17752.800000000003,17802.793,0.9972,STAY_ACTIVE,17802.79296875
4399.2,4402.0757,0.9993,SCALE_DOWN,3000.0
5643.6,5648.512,0.9991,STAY_ACTIVE,5648.51220703125
4451.1,4454.227,0.9993,SCALE_DOWN,3000.0
3534.0,3534.66,0.9998,SCALE_DOWN,3000.0
6009.6,5987.8906,0.9964,STAY_ACTIVE,5987.890625
9156.0,9120.007,0.9961,STAY_ACTIVE,9120.0068359375
5518.200000000001,5502.771,0.9972,STAY_ACTIVE,5502.77099609375
6131.1,6100.052,0.9949,STAY_ACTIVE,6100.0517578125
7279.5,7303.3804,0.9967,STAY_ACTIVE,7303.38037109375
4267.799999999999,4263.2847,0.9989,SCALE_DOWN,3000.0
6431.1,6417.221,0.9978,STAY_ACTIVE,6417.22119140625
5879.4,5871.1714,0.9986,STAY_ACTIVE,5871.17138671875
12491.4,12570.935,0.9936,STAY_ACTIVE,12570.9345703125
5372.4,5377.6226,0.999,STAY_ACTIVE,5377.62255859375
5470.2,5465.7046,0.9992,STAY_ACTIVE,5465.70458984375
4551.9,4553.6646,0.9996,SCALE_DOWN,3000.0
8016.9,7963.098,0.9933,STAY_ACTIVE,7963.09814453125
3833.1,3838.9258,0.9985,SCALE_DOWN,3000.0
17281.2,17337.64,0.9967,STAY_ACTIVE,17337.640625
4418.4,4419.5405,0.9997,SCALE_DOWN,3000.0
5023.200000000001,5034.5776,0.9977,STAY_ACTIVE,5034.57763671875
5229.300000000001,5237.9517,0.9983,STAY_ACTIVE,5237.95166015625
3955.5,3958.787,0.9992,SCALE_DOWN,3000.0
4489.5,4488.6265,0.9998,SCALE_DOWN,3000.0
7010.4,7005.647,0.9993,STAY_ACTIVE,7005.64697265625
3613.2,3618.566,0.9985,SCALE_DOWN,3000.0
4418.4,4419.592,0.9997,SCALE_DOWN,3000.0
3559.7999999999997,3552.0125,0.9978,SCALE_DOWN,3000.0
4443.6,4446.2197,0.9994,SCALE_DOWN,3000.0
9771.9,9709.136,0.9936,STAY_ACTIVE,9709.1357421875
5812.8,5787.84,0.9957,STAY_ACTIVE,5787.83984375
3717.3,3711.2168,0.9984,SCALE_DOWN,3000.0
8282.4,8272.994,0.9989,STAY_ACTIVE,8272.994140625
3645.6,3654.4656,0.9976,SCALE_DOWN,3000.0
10651.2,10682.071,0.9971,STAY_ACTIVE,10682.0712890625
6385.200000000001,6398.8447,0.9979,STAY_ACTIVE,6398.8447265625
7291.500000000001,7259.8687,0.9957,STAY_ACTIVE,7259.86865234375
18489.0,18563.992,0.9959,STAY_ACTIVE,18563.9921875
3968.099999999999,3964.1987,0.999,SCALE_DOWN,3000.0
4879.200000000001,4888.566,0.9981,SCALE_DOWN,3000.0
4845.3,4835.817,0.998,SCALE_DOWN,3000.0
19591.5,19497.928,0.9952,STAY_ACTIVE,19497.927734375
6929.699999999999,6944.833,0.9978,STAY_ACTIVE,6944.8330078125
5567.700000000001,5574.2617,0.9988,STAY_ACTIVE,5574.26171875
7932.9,7896.5146,0.9954,STAY_ACTIVE,7896.5146484375
3387.3,3387.0205,0.9999,SCALE_DOWN,3000.0
6681.000000000001,6659.693,0.9968,STAY_ACTIVE,6659.69287109375
4815.299999999999,4816.726,0.9997,SCALE_DOWN,3000.0
5370.3,5373.71,0.9994,STAY_ACTIVE,5373.7099609375
3807.9,3816.8296,0.9977,SCALE_DOWN,3000.0
6982.5,7032.2285,0.9929,STAY_ACTIVE,7032.228515625
8332.800000000001,8355.9375,0.9972,STAY_ACTIVE,8355.9375
3612.6,3622.7173,0.9972,SCALE_DOWN,3000.0
8678.1,8704.27,0.997,STAY_ACTIVE,8704.26953125
8408.1,8401.231,0.9992,STAY_ACTIVE,8401.2314453125
6065.4,6090.663,0.9958,STAY_ACTIVE,6090.6630859375
3348.6,3349.9526,0.9996,SCALE_DOWN,3000.0
7010.700000000001,7024.2095,0.9981,STAY_ACTIVE,7024.20947265625
3324.0,3326.2388,0.9993,SCALE_DOWN,3000.0
8421.599999999999,8343.9,0.9908,STAY_ACTIVE,8343.900390625
3625.5,3616.723,0.9976,SCALE_DOWN,3000.0
13645.2,13636.458,0.9994,STAY_ACTIVE,13636.4580078125
9706.8,9652.668,0.9944,STAY_ACTIVE,9652.66796875
6072.6,6081.84,0.9985,STAY_ACTIVE,6081.83984375
7639.5,7658.8496,0.9975,STAY_ACTIVE,7658.849609375
5605.5,5610.382,0.9991,STAY_ACTIVE,5610.3818359375
4000.2,4002.2883,0.9995,SCALE_DOWN,3000.0
3703.8,3708.2202,0.9988,SCALE_DOWN,3000.0
9307.2,9282.596,0.9974,STAY_ACTIVE,9282.595703125
4927.8,4921.376,0.9987,SCALE_DOWN,3000.0
5163.3,5139.3003,0.9954,STAY_ACTIVE,5139.30029296875
7934.1,7972.1294,0.9952,STAY_ACTIVE,7972.12939453125
4162.2,4162.598,0.9999,SCALE_DOWN,3000.0
3512.1000000000004,3509.7395,0.9993,SCALE_DOWN,3000.0
4180.8,4184.7656,0.9991,SCALE_DOWN,3000.0
3786.6,3788.7764,0.9994,SCALE_DOWN,3000.0
8414.7,8435.529,0.9975,STAY_ACTIVE,8435.529296875
19720.2,19564.412,0.9921,STAY_ACTIVE,19564.412109375
19315.2,19467.164,0.9921,STAY_ACTIVE,19467.1640625
3882.9,3878.9854,0.999,SCALE_DOWN,3000.0
4009.8,4017.9956,0.998,SCALE_DOWN,3000.0
4401.9,4399.618,0.9995,SCALE_DOWN,3000.0
3631.2,3628.8362,0.9993,SCALE_DOWN,3000.0
4580.4,4577.325,0.9993,SCALE_DOWN,3000.0
